altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A	couvert
2696	32	134	72	607	174	250	192	1495	0	1
2755	18	60	8	1410	243	234	113	1473	0	1
2802	14	330	60	1092	216	208	125	1765	0	1
2748	20	201	60	1195	217	191	100	1624	0	1
2853	12	0	0	1332	219	214	130	2554	0	1
2797	15	277	71	1148	221	207	118	1690	0	1
2855	22	400	74	1470	173	252	212	1493	0	1
3005	9	720	-62	1632	199	244	185	2205	0	1
3119	7	323	43	2049	207	229	161	2403	0	1
2865	13	446	227	1560	204	252	183	1449	0	1
3104	9	319	6	2382	197	231	175	2230	0	1
3151	17	228	45	2382	238	239	124	1635	0	1
2747	28	210	7	1627	183	253	192	1282	0	1
2661	22	124	37	716	199	186	116	1212	0	1
3109	8	162	13	2028	197	237	180	2453	0	1
2702	32	150	61	1744	167	250	202	1177	0	1
2784	25	419	176	1678	221	245	142	1451	0	1
2825	35	300	179	1200	104	198	224	1585	0	1
2943	17	570	297	1425	175	221	185	1825	0	1
3105	11	134	33	1380	190	233	183	2992	0	1
2958	10	234	30	1871	207	220	150	2797	0	1
2738	12	325	109	864	241	225	112	997	0	1
2688	16	120	50	957	245	216	96	1158	0	1
2660	16	67	11	1890	205	205	133	994	0	1
2763	17	395	179	1661	230	246	141	1231	0	1
2997	13	690	-122	1606	192	220	166	1879	0	1
2701	28	228	91	1867	205	249	160	1425	0	1
3058	15	390	-61	1986	179	227	187	2271	0	1
2836	7	42	7	1624	233	233	133	1906	0	1
3034	15	190	29	2313	242	215	98	3050	0	1
2951	39	451	316	1528	95	221	248	1595	0	1
2820	16	268	27	1742	181	219	176	1441	0	1
2636	19	67	18	2130	206	194	119	919	0	1
2832	9	510	65	1943	205	224	157	1057	0	1
2814	7	270	48	2120	233	233	133	700	0	1
3120	10	162	4	1918	195	246	189	2594	0	1
2788	29	351	155	1044	240	173	44	759	0	1
2672	15	68	16	2310	237	213	102	830	0	1
3133	16	255	25	2843	241	211	96	2896	0	1
2761	30	295	113	1120	239	169	39	800	0	1
3216	2	769	32	1165	220	240	157	2190	0	1
2880	15	395	37	2014	200	211	147	1546	0	1
2647	3	0	0	1433	221	235	151	1084	0	1
2671	10	30	5	2460	196	228	170	767	0	1
3169	19	391	56	1316	164	232	208	2125	0	1
3195	5	511	83	1237	206	238	172	2089	0	1
3206	14	309	35	3182	233	211	107	2886	0	1
2999	13	551	16	2431	218	211	127	2356	0	1
3093	8	361	-29	2271	220	247	163	1708	0	1
2860	25	402	112	2483	250	194	57	361	0	1
3082	4	366	-43	2356	214	244	167	1671	0	1
3197	3	446	13	1068	220	241	158	1943	0	1
3118	2	150	0	2001	216	240	162	2040	0	1
3156	18	350	44	1279	166	232	205	2017	0	1
2671	19	60	20	2628	241	203	85	1001	0	1
2694	18	309	76	2451	192	205	148	1448	0	1
3128	7	300	11	2268	230	239	142	1831	0	1
2722	13	134	30	2730	194	220	165	671	0	1
3095	9	153	27	1812	234	239	138	2122	0	1
3052	16	633	8	2657	196	207	146	2492	0	1
3052	18	649	8	2644	192	204	147	2462	0	1
2856	6	457	183	1075	216	228	149	618	0	1
3154	12	150	4	3084	218	214	130	3210	0	1
3082	23	679	27	2751	183	191	140	2520	0	1
3098	10	256	45	1935	237	228	121	1909	0	1
2761	13	31	1	2882	214	215	135	391	0	1
2768	17	190	42	2910	200	203	136	603	0	1
3097	6	492	75	2234	218	246	163	1645	0	1
3070	16	900	201	2609	196	207	146	1742	0	1
2785	10	1	0	2982	208	222	150	268	0	1
3086	12	525	72	2366	207	251	179	1507	0	1
3073	13	150	18	1842	239	236	125	1871	0	1
2980	8	1050	213	2683	220	223	138	853	0	1
3218	16	162	14	3339	210	204	127	3337	0	1
3182	21	806	85	2967	185	195	142	2589	0	1
3151	19	1047	108	2828	206	197	122	2200	0	1
3179	16	957	106	2914	204	207	137	2382	0	1
2947	14	663	149	2865	228	208	110	510	0	1
3192	12	924	101	2975	216	214	134	2475	0	1
2859	20	216	79	3121	203	193	121	525	0	1
3221	23	124	55	1463	250	201	68	1385	1	1
3169	15	1124	300	2897	209	206	130	2151	0	1
3133	18	1113	264	2809	200	201	134	1707	0	1
2770	10	551	116	2718	205	221	153	1530	0	1
3195	10	1045	114	2990	214	221	143	2363	0	1
2897	9	474	99	3020	233	224	122	408	0	1
2755	11	484	84	2532	189	231	182	1861	0	1
2731	12	391	77	2382	230	215	116	2126	0	1
3184	6	1189	130	2963	216	228	149	2190	0	1
3159	12	1170	290	2919	219	214	131	2012	0	1
3047	7	258	47	2207	217	247	166	1400	0	1
3278	17	247	55	3154	197	204	142	3302	0	1
3020	13	990	222	2965	209	211	137	860	0	1
3164	5	1260	294	2962	229	233	138	1768	0	1
3253	13	558	55	3107	242	225	110	3068	0	1
2790	11	607	60	2724	219	216	132	1776	0	1
3259	13	150	26	1932	242	231	117	1464	1	1
2741	7	175	50	1797	208	227	158	953	0	1
3109	14	1344	194	3001	233	211	106	1359	0	1
2770	9	495	40	2630	223	220	131	1987	0	1
3231	14	60	0	1760	242	231	115	1598	1	1
2789	7	525	59	2738	225	226	135	1851	0	1
3143	19	1092	177	3161	234	242	130	1964	0	1
3046	16	1087	248	3166	243	217	101	1003	0	1
2823	14	551	81	3124	197	215	155	1409	0	1
2887	16	277	37	1588	217	204	118	977	0	1
3226	5	408	51	390	206	236	168	1065	0	1
2727	18	60	18	2221	167	234	206	690	0	1
2836	12	698	99	3090	223	214	123	1557	0	1
3252	21	134	19	1848	238	195	79	1499	1	1
2899	29	240	132	2526	130	232	234	699	0	1
3260	17	533	144	2796	230	245	140	3339	0	1
3147	21	134	26	1533	237	195	79	1429	1	1
2750	7	210	20	2482	232	232	132	2268	0	1
2823	35	151	72	2400	105	216	239	589	0	1
3207	11	618	99	2777	237	236	129	3165	0	1
3068	26	874	98	3113	204	250	165	2223	0	1
3048	4	1165	250	3150	214	232	156	1126	0	1
2873	27	124	72	2590	184	253	191	607	0	1
3036	20	1174	177	3127	226	246	143	1274	0	1
2896	14	459	101	3095	208	210	137	1209	0	1
3051	20	750	48	2888	249	221	92	2563	0	1
2918	17	488	123	3034	202	203	134	1116	0	1
2837	12	607	107	2937	231	217	116	1699	0	1
3028	18	800	88	3033	218	251	160	2080	0	1
2920	13	511	125	3013	209	212	138	1176	0	1
3159	19	510	86	2642	229	245	140	3150	0	1
3014	16	735	112	2941	209	253	175	1940	0	1
2989	19	684	69	2912	219	251	159	2136	0	1
3035	6	1127	235	2920	230	230	133	1181	0	1
2709	6	30	0	2208	227	228	136	2483	0	1
3057	16	570	62	2687	246	220	98	2714	0	1
2806	16	371	76	2638	236	207	96	1997	0	1
2530	7	306	27	840	227	226	133	1298	0	1
3174	9	540	82	953	197	244	187	870	0	1
2961	12	577	41	2828	224	248	154	2259	0	1
2858	18	735	128	2914	245	229	105	1744	0	1
3008	22	360	-1	1116	251	217	82	828	1	1
3081	17	446	78	2535	237	240	129	2915	0	1
3142	23	459	128	1917	217	249	152	1082	1	1
3028	14	420	-37	1489	225	247	151	1143	1	1
2941	10	741	93	2777	213	249	172	1699	0	1
2962	11	819	120	2770	197	249	190	1560	0	1
3282	16	484	80	2755	241	235	119	1126	0	1
2922	22	228	117	957	247	226	97	525	1	1
2910	23	201	105	932	251	218	83	511	1	1
2824	37	182	99	2124	249	161	6	424	0	1
3246	18	216	-16	3458	217	251	162	663	0	1
2948	21	210	41	1296	242	233	110	741	1	1
2899	29	180	60	990	239	228	98	474	1	1
2932	10	390	53	2580	221	248	161	2151	0	1
2975	13	210	12	1622	231	244	141	1082	1	1
2787	33	124	54	2202	252	172	21	391	0	1
2987	16	175	-6	2258	230	246	144	3153	0	1
2964	19	882	168	2542	245	230	104	1463	0	1
2989	6	180	10	1710	222	244	156	1390	1	1
3241	12	361	39	2689	228	245	147	1165	0	1
2968	5	120	4	1657	222	228	141	1172	1	1
3199	15	295	-19	3331	219	251	162	730	0	1
3230	10	319	28	2408	219	248	162	1487	0	1
2991	7	108	10	1621	225	226	136	1380	1	1
3052	9	30	1	2081	197	245	186	1299	0	1
3233	9	366	32	2681	229	243	146	1183	0	1
2925	13	787	139	2415	238	237	126	1565	0	1
3151	16	85	1	3065	242	234	117	1012	0	1
2894	13	247	39	2373	230	244	144	2227	0	1
2960	7	684	163	2377	229	232	137	1661	0	1
2903	18	752	125	2348	245	229	105	1613	0	1
2747	13	42	8	2428	182	239	195	361	0	1
3128	16	42	-2	2981	236	241	130	1084	0	1
3218	3	306	16	2569	225	236	145	1315	0	1
2570	8	108	8	1233	208	227	155	2484	0	1
2940	19	495	154	2213	174	249	211	1852	0	1
2853	28	470	187	2192	224	242	132	1986	0	1
3152	5	30	0	3416	226	240	149	595	0	1
2848	7	150	16	2151	223	245	156	2292	0	1
3296	17	323	101	3384	238	207	93	503	0	1
2876	24	444	97	2062	250	219	83	1924	0	1
2846	29	484	68	2051	254	203	57	1909	0	1
2805	24	458	136	2037	227	243	135	2040	0	1
3087	26	60	5	2676	158	249	222	1328	0	1
3011	16	470	142	2944	191	253	197	664	0	1
2757	22	30	6	2168	243	233	108	872	0	1
2820	15	127	23	2496	183	248	202	702	0	1
2900	28	300	78	2706	137	239	233	661	0	1
2809	18	175	31	1920	205	254	179	2202	0	1
2835	20	182	57	1891	213	252	165	2168	0	1
2820	11	90	1	1854	215	217	137	2538	0	1
2930	19	437	49	1848	205	197	124	3055	0	1
2825	11	120	6	1825	216	216	134	2563	0	1
2894	13	402	48	1779	235	213	107	2912	0	1
2688	12	108	19	1855	236	238	131	2379	0	1
3186	17	332	32	3099	246	212	89	999	0	1
3033	4	30	0	2624	225	240	150	1368	0	1
3102	31	210	71	2380	137	242	233	1606	0	1
2862	11	277	43	1711	219	216	131	2773	0	1
3042	7	459	96	3072	210	247	174	1066	0	1
3181	32	418	110	3526	238	224	90	909	0	1
2982	12	626	100	1690	230	216	117	2922	0	1
3178	18	481	24	3037	246	213	89	1128	0	1
3067	13	569	-7	1463	231	212	112	2969	0	1
2776	18	67	20	1591	213	197	113	2460	0	1
2840	13	342	57	1584	204	215	147	2724	0	1
2716	15	240	59	1723	209	207	131	2142	0	1
2902	22	127	23	2576	192	190	128	1165	0	1
3144	7	331	69	1224	230	227	129	2884	0	1
3017	15	170	2	2553	237	239	128	1533	0	1
2912	17	514	93	1421	222	201	108	2737	0	1
2775	18	30	3	2033	243	205	86	1489	0	1
3132	11	424	57	1196	228	218	122	2770	0	1
3083	27	301	110	2827	245	224	89	1422	0	1
3096	9	696	21	1321	228	221	125	2672	0	1
2962	23	247	56	2647	209	183	100	1307	0	1
3084	11	446	55	2951	200	249	187	767	0	0
3320	10	418	47	1978	207	220	150	1316	0	0
3394	13	319	72	1821	189	248	197	2093	0	0
3081	24	190	61	3017	211	250	159	1366	0	1
3325	16	67	17	1917	177	244	205	1848	0	0
3096	12	95	11	3247	226	213	119	1348	0	0
3289	12	725	61	2037	200	219	157	793	0	0
3302	7	42	1	2006	220	225	142	1716	0	0
2976	17	713	157	1231	216	201	116	2542	0	1
2990	14	0	0	3315	183	226	184	1208	0	0
3020	8	134	10	3234	200	245	185	1006	0	0
3174	15	391	27	2581	175	236	200	300	0	0
3227	9	716	90	2297	200	247	185	645	0	0
3368	9	631	140	2042	210	223	151	1177	0	0
3020	27	258	118	1974	193	252	181	2060	0	1
3043	13	234	25	3164	201	251	186	882	0	0
2958	21	150	53	1513	249	221	89	1803	0	1
3065	11	324	36	3097	188	238	189	759	0	0
3001	18	121	11	3199	168	224	196	1277	0	0
3358	12	537	82	2147	204	216	149	1374	0	0
2992	15	815	218	1120	208	206	132	2436	0	1
3331	16	854	103	2181	176	224	187	939	0	0
3378	8	212	29	2018	206	248	178	2274	0	0
3030	13	120	12	3283	222	212	123	1500	0	0
2921	19	90	8	2125	212	253	169	1998	0	1
3037	9	953	218	1090	229	222	125	2371	0	1
2998	16	180	53	3075	198	208	146	1478	0	0
2879	11	67	2	1922	214	216	137	1932	0	1
3007	22	277	62	2964	193	189	127	1560	0	0
3364	11	845	136	2222	196	225	168	1099	0	0
3102	25	182	64	3448	208	177	92	1535	0	0
2843	16	446	72	1050	246	223	100	2691	0	1
3203	10	626	56	2676	193	236	182	175	0	0
3248	10	618	-25	2576	196	228	171	371	0	0
3270	10	547	-3	2491	196	239	184	577	0	0
3342	19	743	54	2284	175	210	171	987	0	0
3151	10	600	100	2934	192	237	185	278	0	0
2885	18	190	106	2097	235	200	90	1924	0	1
3075	29	270	56	3314	216	163	63	1638	0	0
3036	5	391	91	2874	207	238	170	1680	0	0
3194	11	685	138	2879	190	240	190	90	0	0
3199	9	671	-46	2846	196	238	182	30	0	0
3311	8	450	36	2497	197	234	177	810	0	0
3158	14	342	104	3666	202	212	145	1654	0	0
2889	6	0	0	1900	220	244	160	2252	0	1
2971	21	95	10	1359	183	254	202	2666	0	0
2961	24	124	35	1621	252	204	66	1488	0	1
2843	33	124	59	2247	239	161	27	1945	0	1
2974	28	242	69	1956	174	172	124	1833	0	1
3030	13	361	20	2886	196	219	162	1353	0	0
3260	5	417	-13	2702	212	244	169	457	0	0
3256	6	256	78	884	223	227	140	1698	1	0
2959	9	85	11	1361	236	230	124	1020	0	1
2924	10	95	0	1725	235	223	119	1518	0	1
2974	7	67	3	2520	214	226	148	1987	0	0
2955	15	210	34	2224	211	205	127	2131	0	0
3044	13	400	28	2820	206	213	143	1389	0	0
3144	25	430	130	3290	250	192	55	1816	0	0
2892	7	95	9	1889	228	228	133	2371	0	0
2946	17	180	20	1813	175	218	182	1489	0	1
2789	10	30	4	2505	229	218	121	1758	0	1
3314	11	240	38	2707	191	241	190	752	0	0
3380	10	361	88	2627	201	248	185	1082	0	0
2872	5	43	-2	1412	223	243	155	2716	0	1
2968	28	120	17	1549	191	252	181	1045	0	1
3251	10	256	-22	2820	200	248	185	481	0	0
3261	14	757	190	3375	181	241	200	2012	0	0
3259	5	270	3	853	225	230	140	1826	1	0
3059	28	384	134	2079	232	171	53	1744	0	1
3028	19	430	106	2122	207	195	118	1798	0	1
3061	20	570	264	2605	163	219	196	1535	0	0
3270	9	268	15	997	235	236	130	1898	1	0
3191	23	474	174	3456	250	207	73	1951	0	0
2955	15	376	24	1745	234	242	135	1176	0	1
3282	15	624	244	3754	229	207	107	1994	0	0
3010	30	335	84	1987	124	211	221	1489	0	1
3242	22	497	212	3602	250	207	74	2042	0	0
3279	4	216	11	1170	225	232	142	2072	1	0
3260	8	120	5	810	218	223	141	1965	1	0
2944	3	430	13	1868	224	239	149	1199	0	1
3233	12	162	-12	3053	217	250	166	335	0	0
3225	14	95	9	541	241	219	105	1956	1	0
3221	15	150	0	3092	218	250	162	324	0	0
3230	14	86	14	573	243	225	108	1988	1	0
3401	15	361	45	2881	234	242	135	1801	0	0
2941	14	212	73	2222	243	221	104	1739	0	1
3080	18	594	99	2191	212	198	117	2522	0	0
2944	25	258	75	1651	214	177	86	2808	0	0
2826	17	67	26	2190	173	221	187	1448	0	0
2899	22	108	40	1383	203	186	110	3000	0	0
3188	10	135	-7	342	228	220	124	2133	1	0
2938	13	285	7	1989	213	211	132	966	0	0
3105	22	616	117	2223	215	187	98	2563	0	0
3023	21	404	156	1804	242	198	76	2771	0	0
2830	20	67	26	2130	163	235	212	1416	0	1
3066	13	30	29	2486	205	214	145	926	0	0
2885	21	256	85	2105	166	212	183	1276	0	0
2912	15	382	114	2121	177	231	193	1209	0	0
3290	7	212	33	3188	211	247	174	808	0	0
3369	13	175	13	3035	239	236	125	1991	0	0
3037	19	67	13	3245	249	218	89	2356	0	1
2993	20	361	134	1690	217	193	104	2888	0	0
3197	11	218	-9	404	218	216	133	2223	1	0
3085	23	268	74	2768	151	219	206	2467	0	0
3076	14	120	39	2446	187	222	174	865	0	0
3214	9	247	-12	509	221	221	135	2280	1	0
2946	19	150	87	1201	198	196	131	3274	0	0
3283	11	150	4	1120	209	220	148	2402	1	0
2898	34	180	94	1982	106	211	234	1207	0	1
3148	16	60	20	2779	174	236	201	541	0	0
3306	21	350	57	3238	204	253	175	1101	0	1
3315	19	323	66	3225	224	248	149	1154	0	1
3158	4	297	121	2242	225	238	148	1101	0	0
3041	10	0	0	3376	237	233	126	2495	0	0
3028	5	42	0	3167	225	230	140	2516	0	0
3251	30	371	214	3827	241	170	39	2538	0	0
2974	11	360	53	1724	192	229	177	589	0	1
3089	21	743	279	2014	174	252	210	842	0	1
3103	27	201	82	2915	137	206	203	2678	0	0
3078	23	134	50	3038	153	216	201	2689	0	0
2890	14	0	0	1770	217	207	123	1381	0	1
3343	11	120	8	3365	216	215	134	2145	0	0
3213	26	418	192	2718	151	196	179	2779	0	0
3008	14	330	149	1034	196	214	155	3471	0	0
3128	5	150	12	390	224	229	141	2208	1	0
2937	10	124	17	1756	233	222	120	1530	0	0
3215	10	390	52	2800	197	245	187	847	0	0
3212	30	301	175	3789	254	193	43	2711	0	0
3017	15	570	96	1482	205	209	138	424	0	0
2915	12	60	0	1681	201	218	155	1358	0	1
3326	10	124	21	3450	192	238	186	1932	0	0
3048	9	42	-4	3384	208	225	154	2766	0	0
3118	14	60	2	480	238	239	128	2147	1	0
2894	22	127	-1	1650	239	192	72	1240	0	1
2859	17	212	52	1660	181	250	206	892	0	1
3193	11	379	52	2588	212	250	173	878	0	1
3205	15	270	42	2848	223	249	156	994	0	1
3053	8	60	0	3419	213	225	148	2794	0	0
3118	14	30	3	510	243	228	110	2138	1	0
3122	13	134	14	430	238	238	128	1900	1	0
3082	16	424	222	824	195	207	147	3110	0	1
3138	14	531	47	2115	225	247	151	947	0	1
2990	20	170	13	1601	233	194	84	1421	0	0
2875	27	153	68	1561	234	176	56	1142	0	1
3078	21	516	268	1744	161	240	217	570	0	1
3132	15	600	95	1947	230	245	142	942	0	1
3107	7	30	-3	600	224	244	154	2015	1	0
3030	16	234	46	1604	219	202	113	1307	0	0
3173	17	270	50	2482	203	255	182	994	0	1
3220	13	42	6	3178	187	244	197	1400	0	0
3067	7	0	0	3472	206	230	162	2912	0	0
3181	12	811	54	2400	222	213	124	3122	0	0
3087	10	323	18	999	221	247	159	3218	0	0
3092	4	365	24	830	219	243	160	3021	0	1
3214	29	376	177	3013	127	217	224	3000	0	0
3173	11	732	46	2325	219	215	130	3181	0	0
3100	6	60	-2	598	224	243	153	1798	1	0
2984	34	342	167	1599	143	246	222	504	0	1
3109	7	594	61	1892	231	240	141	912	0	1
3118	13	295	27	2155	208	252	178	812	0	1
3329	8	332	13	3660	204	245	181	1959	0	0
3242	4	552	213	2848	227	234	142	3059	0	0
3101	4	0	0	677	225	239	149	1889	1	0
3076	10	361	62	1624	203	222	157	1063	0	1
3129	10	750	92	1756	230	243	145	703	0	1
3331	10	296	15	3690	196	246	188	1945	0	0
3220	6	722	196	2656	228	230	136	3136	0	0
3128	11	371	37	1590	210	217	144	3490	0	0
3078	9	384	61	1626	203	226	161	1015	0	1
3007	20	108	20	1471	251	214	83	1390	0	0
3004	21	150	55	1410	180	199	154	1243	0	1
3168	5	31	-1	2790	222	244	157	1242	0	0
3236	11	190	28	3182	191	245	193	1549	0	0
3103	5	85	2	750	224	229	141	1873	1	0
3080	13	607	63	1549	185	238	193	778	0	1
2993	29	242	53	1380	218	166	64	1148	0	1
3188	9	60	9	2896	195	239	184	1348	0	0
3328	8	242	12	3661	204	245	180	1892	0	0
3250	19	300	-4	1124	240	237	119	2754	1	0
2990	12	277	53	273	239	237	127	1500	1	0
3161	21	90	4	4097	250	213	81	3127	0	0
3112	16	85	12	3602	191	211	156	3090	0	0
3054	23	484	238	1511	194	254	186	323	0	1
3101	6	171	1	824	227	228	135	1657	1	0
3137	11	0	0	4060	234	222	118	3208	0	0
3063	2	297	-36	658	222	236	150	1517	1	0
3248	10	742	84	2785	214	218	140	3326	0	0
3137	5	30	4	947	210	233	162	1974	1	0
3102	6	1	0	2079	205	240	174	591	0	0
3253	7	297	11	3227	206	246	178	1566	0	0
3084	5	90	-3	1458	228	238	144	3240	0	0
2964	26	323	148	1381	183	254	195	181	0	1
3135	18	134	29	3796	184	207	160	3272	0	0
3118	8	150	15	990	223	245	156	1762	1	0
2843	23	234	29	1146	226	184	81	677	0	1
3239	10	295	41	3077	208	222	150	1471	0	0
3230	23	433	143	3350	153	214	200	3320	0	0
3112	15	85	14	1714	240	234	120	3189	0	0
3075	5	30	-2	1425	227	232	139	3182	0	0
3156	8	234	0	1131	230	240	142	2322	1	0
3138	8	134	5	1050	231	239	141	1982	1	0
3050	14	720	9	1252	180	235	195	830	0	1
3335	10	134	13	3711	194	243	187	1813	0	0
2879	25	295	66	1084	215	178	85	696	0	1
3031	19	553	78	1366	177	250	209	400	0	1
3050	12	361	49	1523	234	241	136	638	0	0
3065	15	162	-33	815	237	239	128	1465	1	0
3099	29	589	58	1296	140	192	184	955	0	1
3246	6	150	12	3173	210	245	173	1443	0	0
3094	9	42	3	1621	215	220	141	3091	0	0
3103	8	175	0	1040	231	240	141	1676	1	0
3066	17	127	-31	849	240	237	121	1476	1	0
3267	13	30	4	3366	194	250	193	1533	0	0
3266	17	566	168	3337	177	217	178	3446	0	1
3189	17	42	6	1390	245	214	93	2549	1	0
3032	5	362	-66	630	228	237	144	1291	1	0
2988	6	134	25	180	225	227	136	1131	1	0
3153	10	424	112	1289	226	219	126	1124	0	1
3132	25	365	91	1316	241	185	60	1168	0	0
2978	24	492	157	1216	162	248	220	272	0	1
3164	8	30	2	2567	220	247	160	1092	0	0
3118	5	0	0	1964	220	229	146	3029	0	0
3265	9	256	67	2912	195	244	187	1259	0	0
3100	18	446	125	1128	169	226	196	2214	0	0
3091	10	180	1	967	237	232	125	1640	1	0
3142	16	390	101	1250	242	213	97	1188	0	0
2828	22	30	14	1020	235	190	75	313	0	1
3086	10	240	13	1440	220	218	134	2962	0	0
3267	19	153	38	3303	165	237	211	1423	0	0
3071	7	124	-9	859	231	231	132	1510	1	0
3025	15	0	0	1570	178	240	201	216	0	0
3126	12	269	15	1782	208	215	142	2851	0	0
2821	4	85	1	992	208	238	169	242	0	0
3230	15	60	-6	4658	244	217	99	3769	0	0
3009	14	201	44	120	204	211	142	904	1	0
3182	22	85	18	2557	251	210	75	2960	0	0
3042	4	134	14	553	208	238	168	1189	1	0
2970	13	150	20	1140	233	242	138	633	0	0
3117	4	42	2	2165	214	243	166	722	0	1
3150	10	295	29	1952	214	218	140	2768	0	0
3072	15	0	0	741	231	211	109	1440	1	0
2993	10	108	15	390	235	237	132	939	1	0
3118	2	283	59	721	213	236	160	1383	0	1
2967	6	0	0	1294	217	246	165	361	0	0
3250	15	180	21	3206	178	242	203	1279	0	0
3263	19	180	39	2873	243	233	110	3032	0	0
3164	1	0	0	2538	220	236	152	2884	0	0
2972	12	30	4	324	196	221	163	837	1	0
3120	9	242	61	702	199	227	168	1419	0	1
2957	15	190	25	1040	215	251	167	607	0	1
3133	16	108	11	2249	174	236	202	900	0	0
3094	12	547	35	630	235	217	111	1110	0	1
3180	11	61	0	2671	239	225	115	2869	0	0
3112	7	85	8	1101	208	228	159	1895	1	0
3007	9	60	0	384	232	240	140	1019	1	0
3067	16	663	8	607	231	207	103	1008	0	1
3369	14	497	90	3582	216	251	168	1573	0	0
3151	11	514	46	1756	206	218	149	2651	0	0
3120	9	679	105	1438	199	230	172	2195	0	0
3018	9	0	0	450	235	233	129	1084	1	0
3004	10	30	0	361	233	239	137	998	1	0
2980	6	0	0	270	210	230	159	834	1	0
2940	12	0	0	1082	206	251	180	547	0	0
3233	9	390	75	2592	216	249	167	883	0	0
3120	12	120	18	2036	190	228	179	730	0	0
3392	20	284	70	4340	239	237	119	3144	0	0
3172	19	242	-35	1490	245	206	81	2316	1	0
2992	3	30	-1	228	216	233	154	854	1	0
3101	10	480	42	510	239	229	121	1209	0	1
3217	6	243	34	2366	205	233	168	815	0	0
3321	16	466	92	3341	186	251	202	1332	0	1
3111	8	180	5	767	232	238	138	1560	1	0
3172	10	655	155	1785	215	218	140	2530	0	0
3149	22	335	-69	1410	251	215	82	2263	1	0
3115	7	0	0	1020	232	232	132	1831	1	0
3089	15	285	30	457	221	250	158	1438	0	1
2924	26	256	107	594	216	174	79	674	0	1
